length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
1613,135,22,3,4
1700,180,22,3,4
609,90,7,2,2
1853,199,24,4,5
1769,120,24,4,4
970,71,13,2,2
473,137,5,3,3
954,75,13,2,3
718,71,14,4,3
1645,112,22,3,4
151,170,1,2,3
370,44,4,2,2
973,133,12,2,3
506,40,6,1,2
1360,69,19,3,2
615,139,6,3,4
527,80,6,2,3
926,102,12,2,3
323,32,5,1,2
1514,187,19,4,5
278,153,2,2,4
1710,192,22,4,5
183,72,2,1,2
608,27,8,2,2
1018,72,14,2,3
1075,199,12,4,5
1853,104,25,3,3
1296,40,18,2,2
788,120,10,2,2
519,199,5,3,4
609,190,6,4,4
712,175,7,3,4
1066,18,16,3,3
1473,144,19,4,4
319,130,3,2,2
1679,129,23,3,3
1788,86,37,4,5
822,167,14,5,6
33,109,0,3,4
1926,128,39,5,5
1314,18,30,5,5
1220,134,23,6,6
224,198,1,6,7
282,6,7,4,3
1802,63,71,5,5
1275,63,27,4,4
1042,114,21,5,5
879,121,12,3,3
1381,126,18,3,3
640,109,7,2,3
280,168,2,5,4
837,193,13,5,5
45,153,0,3,5
185,71,2,3,3
290,193,2,6,7
909,70,18,3,3
1390,9,55,10,8
466,29,10,3,3
1506,127,20,3,4
1822,170,23,4,5
1162,36,16,3,2
153,152,0,3,3
1179,150,15,3,3
428,35,6,1,2
403,138,4,2,4
1632,146,21,4,4
1876,59,26,3,3
279,59,4,1,2
181,51,2,1,1
1348,177,16,4,4
1076,143,13,2,3
1005,69,14,2,2
413,135,4,2,3
1019,102,13,3,3
396,184,3,3,4
1164,89,16,2,2
688,138,8,3,3
823,21,12,3,2
1929,136,26,3,4
568,125,7,2,2
1977,94,27,4,4
1734,65,24,3,3
1354,40,19,3,3
22,189,0,3,4
1371,47,19,3,3
1035,23,15,2,2
1254,182,16,4,4
1971,190,26,4,5
1057,144,13,3,4
1973,89,27,3,4
957,186,12,3,4
212,79,2,2,2
332,130,3,3,3
911,153,11,3,4
1540,151,20,3,4
713,77,9,2,2
1985,10,31,8,8
457,132,5,3,3
1289,181,16,4,4
775,71,11,1,2
37,31,0,0,1
1902,35,27,4,3
262,71,3,1,2
1888,171,25,4,5
1733,36,24,3,3
93,62,0,2,1
1738,48,24,4,3
641,121,7,3,3
1513,163,20,4,4
880,93,11,3,3
197,111,1,2,2
1731,172,22,4,5
395,47,5,2,1
1392,75,19,3,3
400,95,4,3,2
675,149,8,3,3
85,154,0,3,3
639,145,7,3,4
677,145,8,3,4
405,78,5,2,2
1876,46,26,4,3
289,154,2,3,3
1004,90,14,2,3
959,53,13,2,2
1035,168,12,3,4
1081,58,15,3,2
506,55,7,1,2
311,77,4,1,2
1072,5,17,9,8
844,70,11,3,2
1275,67,18,2,2
667,66,9,2,2
23,29,1,0,1
1848,98,25,3,4
1281,86,18,3,3
1142,128,15,3,3
1936,111,27,4,3
1190,50,16,2,3
1079,186,13,3,5
596,173,6,3,4
1757,16,27,5,5
1114,57,15,2,2
320,192,2,3,4
1025,99,13,3,2
792,188,8,4,4
1321,123,17,3,4
1533,1,24,54,49
1437,59,20,3,3
1465,69,20,3,3
670,166,7,3,4
1948,179,25,4,4
1913,90,27,3,3
610,103,7,3,2
1312,5,20,11,9
1197,66,16,3,2
955,7,15,6,5
655,79,8,3,2
1245,171,16,4,4
352,106,3,3,2
1328,88,18,3,3
1296,7,20,8,7
107,21,1,1,1
1736,75,24,3,3
669,35,9,2,2
883,55,12,3,2
960,179,11,4,4
310,157,2,2,3
619,92,8,2,3
1022,177,12,3,4
1301,141,17,3,4
1002,67,14,2,2
1670,52,23,3,3
1990,8,32,11,9
454,49,6,2,2
1075,91,15,2,3
280,123,3,2,3
1623,197,20,3,4
191,58,2,2,1
858,123,11,2,3
188,141,1,2,3
103,137,0,2,3
196,58,2,1,1
1930,126,26,4,4
578,35,8,2,10
749,169,8,3,4
1162,15,18,4,4
460,164,5,3,4
162,125,1,2,3
87,124,0,2,3
476,99,6,2,4
1717,176,22,4,4
1731,65,24,3,3
1379,29,20,3,3
513,135,6,3,3
1867,98,26,3,4
1700,199,25,4,4
1431,118,55,6,5
1336,136,18,3,3
1889,23,27,4,4
1114,137,14,3,4
1302,23,19,3,3
1416,147,19,3,4
1333,54,18,2,3
325,105,3,2,3
616,95,8,2,3
187,147,0,3,3
1860,74,26,3,3
759,130,9,3,3
1900,123,25,4,4
970,66,13,2,2
775,130,9,3,3
1577,25,22,3,3
1191,132,15,3,3
208,32,3,1,1
67,127,0,2,3
1423,51,20,2,3
382,187,2,3,4
206,114,2,2,3
1723,159,22,4,5
1770,28,25,4,3
1371,92,19,3,3
1273,103,18,3,4
464,158,4,4,3
1262,145,17,3,3
1158,154,16,4,4
1141,97,16,3,3
1007,132,14,3,3
1957,106,29,3,3
1225,23,19,3,3
858,92,12,3,3
1457,6,24,10,9
805,83,11,2,3
1250,133,17,3,3
197,81,2,2,2
515,113,6,3,3
1613,112,23,3,3
1774,189,24,4,4
884,44,13,2,2
441,157,5,3,3
746,95,10,2,3
814,15,18,3,3
1102,63,16,3,2
255,166,2,3,4
1673,23,25,3,3
854,65,12,2,3
209,165,1,3,4
445,199,4,4,5
643,111,8,3,3
1347,127,19,3,4
1304,128,19,3,4
1820,5,30,15,14
1730,78,26,3,3
10,24,0,1,1
1257,9,21,6,6
350,101,4,2,3
1306,49,19,3,3
1591,156,22,4,4
1872,151,27,4,4
1382,12,22,5,5
1078,24,16,3,3
658,77,9,2,2
419,80,5,2,2
1718,137,24,3,4
1089,162,14,3,4
395,159,4,3,4
4,145,0,3,3
1239,181,16,4,5
243,171,1,3,4
286,136,2,3,3
1721,133,25,3,3
764,102,10,3,2
1859,84,27,3,4
1535,83,22,4,3
681,11,11,3,3
397,194,3,3,4
875,143,11,3,3
611,3,10,9,7
1696,36,26,3,3
1338,157,18,3,4
875,194,11,4,5
409,24,6,1,2
248,184,1,3,4
1309,198,17,4,4
350,155,3,3,3
71,184,0,4,4
1966,194,28,4,5
177,192,0,3,5
265,130,2,2,3
1600,80,24,3,3
1984,12,33,8,7
924,13,15,3,4
675,139,8,3,4
318,103,4,2,3
1901,36,29,3,3
642,146,8,3,4
954,143,12,3,3
841,173,10,4,4
905,196,11,4,4
1191,2,20,23,20
1636,172,22,4,5
1409,14,23,5,4
428,164,4,4,3
1387,26,19,3,3
161,61,2,1,2
1665,185,21,4,5
104,62,1,1,1
1680,19,26,4,4
151,123,0,2,2
266,34,4,1,2
570,146,6,3,4
1051,113,14,3,3
526,197,5,4,4
1406,106,18,3,3
614,30,8,1,2
1823,127,24,3,4
85,170,0,3,4
966,68,13,2,3
1844,80,25,3,3
811,118,10,3,3
216,165,1,3,3
168,132,1,2,2
882,11,13,4,4
1623,5,25,13,11
824,148,10,3,4
962,150,12,3,4
538,24,8,2,1
1937,1,30,68,62
559,97,7,2,2
76,126,0,2,3
386,55,5,1,1
976,115,12,3,3
318,93,3,2,2
895,87,12,2,3
1508,57,21,2,2
1232,104,16,3,3
442,200,4,3,5
1925,68,26,3,3
558,174,6,3,3
1637,81,23,3,3
699,154,7,2,3
715,48,10,2,2
1915,25,27,4,4
85,109,0,2,2
1673,93,23,3,3
1904,2,30,35,31
1363,75,18,3,3
1830,127,25,3,4
4,42,0,1,1
384,183,3,3,4
200,25,3,1,2
321,136,3,2,4
1086,110,14,3,3
678,36,10,2,2
811,79,11,2,2
696,11,11,3,3
37,181,0,3,4
138,183,0,3,4
740,93,9,2,3
1167,53,16,3,2
801,60,11,2,2
447,161,4,3,4
584,112,6,2,3
1018,102,13,2,2
212,192,0,3,4
1185,189,15,4,4
615,50,8,1,3
1397,6,22,9,9
1525,31,21,3,3
212,164,1,3,4
1612,60,22,3,3
1901,86,25,3,3
1907,177,25,3,4
332,161,2,3,3
502,29,7,2,1
189,13,3,1,1
1242,73,17,3,3
1022,40,14,2,2
180,178,0,3,4
999,23,14,3,2
161,126,0,2,3
1324,130,17,4,3
1316,53,18,2,2
946,20,15,3,3
1214,170,15,4,4
1461,110,20,3,3
1076,153,13,3,3
1126,12,18,5,4
699,88,9,2,3
498,21,7,2,2
298,100,3,2,2
925,197,10,4,4
509,89,6,2,2
965,73,13,2,3
1249,184,16,4,4
351,94,3,2,2
1535,99,21,3,4
785,152,10,3,3
227,103,2,2,3
1618,158,21,3,5
1483,154,19,4,4
1624,162,21,3,4
1940,63,28,3,3
1927,24,28,5,4
360,68,4,2,2
1734,31,25,4,3
1517,47,70,8,5
1664,74,33,6,5
1684,164,32,7,6
948,81,18,3,3
1987,96,40,6,5
674,189,11,5,6
1237,111,17,3,3
1,93,0,1,2
1980,164,27,4,4
176,56,2,2,1
625,8,9,4,4
1886,85,41,6,5
942,13,23,7,7
1209,91,16,3,4
299,122,3,2,3
1267,135,17,3,4
1212,197,14,3,4
1854,140,44,4,8
1280,131,16,3,3
1805,191,23,4,4
1005,138,13,4,3
53,95,0,2,2
990,128,13,3,3
1941,142,26,4,4
274,63,3,1,2
1175,95,16,3,3
1521,66,21,3,3
1107,139,14,3,3
1124,135,15,3,3
150,83,1,2,2
120,52,1,2,2
797,58,11,2,2
1651,142,25,4,4
276,68,3,1,1
1212,42,16,3,3
1504,73,21,10,3
652,69,13,3,2
1127,3,18,15,13
1406,62,23,3,3
1355,145,17,3,4
1284,149,16,3,4
319,129,3,2,3
678,100,8,3,3
261,2,4,5,5
1528,138,20,4,4
1252,76,17,3,2
1126,64,15,2,2
1966,124,27,3,4
862,123,11,3,3
338,134,3,2,2
736,98,9,3,2
1175,20,18,4,3
873,18,14,3,2
1124,84,15,2,3
1489,115,20,3,4
1777,6,27,11,11
308,107,3,2,2
456,94,5,2,2
1903,7,30,11,10
785,149,9,3,3
1480,150,19,4,4
1179,107,15,3,3
1895,10,30,8,7
1174,130,15,3,4
1460,89,19,3,3
23,9,0,1,0
1587,73,22,3,3
1256,98,17,3,3
266,181,1,3,3
738,99,9,2,2
1668,76,23,2,2
1490,144,19,3,3
1546,44,22,2,2
239,160,1,2,3
24,136,1,2,3
994,34,13,3,2
131,160,0,3,3
1515,91,20,3,3
1844,130,25,3,4
480,6,7,4,3
992,190,12,4,4
1386,133,18,3,4
1042,25,15,3,2
218,113,2,2,3
485,146,5,3,3
155,24,2,1,1
824,162,9,3,4
1197,97,16,3,3
1721,134,23,3,3
1037,31,15,2,2
1529,107,20,3,3
1804,79,25,3,3
1331,194,16,4,5
363,186,3,3,4
1469,138,19,3,4
1914,168,25,4,4
853,21,13,2,2
1914,27,27,4,4
1337,115,17,2,3
1105,8,17,5,6
1520,194,19,4,5
1301,54,18,2,3
497,11,8,2,3
1182,86,16,2,3
1116,54,16,2,3
1872,132,25,3,4
1869,144,24,4,4
1716,45,24,3,3
1966,194,26,4,5
1454,23,21,3,4
1934,177,26,4,4
1983,193,26,4,5
323,78,4,1,2
623,38,8,2,2
951,18,14,3,3
529,77,6,2,3
1876,152,25,3,4
479,197,4,4,4
1533,31,22,3,3
119,180,0,3,4
584,195,5,4,4
1649,53,23,3,3
1158,3,18,15,13
1222,95,17,2,2
871,146,11,3,3
1560,82,21,3,3
12,97,0,2,2
1815,92,25,3,3
498,80,6,2,3
765,110,9,3,3
509,58,7,1,1
551,162,5,3,3
1949,154,25,4,45
984,31,14,2,2
232,82,2,2,2
155,96,1,2,2
910,135,11,3,4
1298,152,16,3,4
1279,119,17,3,4
464,76,6,2,2
1720,34,25,3,3
1595,11,25,7,5
610,145,7,3,4
1657,123,22,3,4
115,46,1,1,2
547,16,9,2,2
1316,120,17,2,3
1294,178,16,3,4
1862,142,25,4,4
1776,67,25,3,3
1034,40,14,3,2
959,33,13,3,2
1498,13,23,6,5
878,132,11,3,4
172,49,1,2,1
135,90,1,2,2
890,42,12,2,2
1574,174,20,4,4
568,52,8,2,2
145,55,1,1,1
998,28,14,2,2
450,113,5,2,3
1444,140,19,3,4
1469,177,18,4,4
911,125,11,3,3
792,13,12,3,2
1438,185,18,5,4
1090,164,13,3,4
1931,133,26,4,4
778,101,10,2,2
118,187,0,3,4
1138,13,18,4,3
1001,31,14,2,2
195,81,2,2,2
1973,71,27,4,3
1742,48,25,3,2
472,128,29,4,4
1327,44,19,3,3
759,93,11,3,4
531,136,6,3,3
1462,95,20,3,3
1379,160,18,3,4
896,29,13,2,3
1132,36,15,3,2
1314,96,17,2,3
840,7,13,5,5
1804,117,24,3,4
1654,200,21,4,5
1029,133,13,3,4
1415,113,19,3,3
224,144,1,3,3
1709,46,24,3,3
1065,94,14,2,2
1247,127,16,3,4
1907,150,25,4,4
1054,171,13,4,4
1878,5,29,15,12
601,88,8,2,3
841,132,10,3,3
648,100,8,2,2
105,98,0,2,2
846,45,12,2,2
1092,156,13,3,3
520,101,6,3,2
911,66,12,2,2
1481,11,23,6,5
850,167,10,3,4
876,41,12,2,2
121,138,0,3,3
939,163,12,3,4
641,182,7,3,4
1116,112,14,2,3
1059,182,13,3,4
918,91,12,2,2
1587,135,21,3,3
1102,198,13,3,5
597,168,6,3,3
1027,107,13,2,3
1641,13,25,5,5
1746,51,24,3,3
236,45,2,1,2
1646,65,22,2,3
1996,5,31,15,13
1502,134,19,3,4
271,111,2,2,2
319,123,3,2,3
1968,97,27,4,3
1256,25,17,4,3
1064,31,15,2,2
1221,25,17,3,3
379,91,4,2,2
1976,88,27,3,4
1961,10,30,8,8
133,33,1,1,1
1686,177,22,4,4
445,99,5,2,3
1739,77,23,3,3
170,182,0,3,4
549,165,6,3,4
724,68,10,2,2
260,6,4,2,2
1870,152,25,4,4
694,42,9,2,2
1587,120,21,3,4
181,196,0,3,4
1182,158,15,3,3
1922,15,30,6,5
117,167,0,3,4
841,108,11,2,3
424,127,4,2,2
858,48,12,2,2
300,16,4,2,1
1645,141,21,3,4
1480,42,21,3,2
1757,129,23,3,3
1893,26,27,4,3
800,42,11,2,2
1341,11,21,5,5
130,64,1,2,2
492,65,6,2,2
1610,83,22,3,3
1652,23,24,3,3
1639,42,23,3,3
1492,80,20,3,3
1745,63,24,3,3
682,49,9,1,1
1741,64,24,3,3
1097,71,15,3,3
41,81,0,2,2
1804,106,24,3,3
207,194,0,4,4
733,119,9,2,3
120,65,0,1,2
842,188,10,3,4
1096,14,18,3,4
938,34,13,2,2
1627,121,21,3,3
1941,198,25,4,5
1769,131,23,4,4
717,2,11,14,12
1214,58,16,3,3
1113,86,14,2,3
1581,183,20,3,5
1127,183,14,4,4
15,52,0,1,1
520,113,6,3,2
752,188,8,3,4
1863,48,26,4,3
1627,30,23,4,3
16,81,0,2,2
1046,186,12,3,4
1917,139,26,3,4
824,15,13,3,2
1695,96,23,3,3
1073,1,16,44,52
1418,132,18,3,4
832,66,11,2,3
526,49,6,1,1
294,31,4,1,1
133,103,1,2,2
21,10,0,1,1
1916,7,30,11,10
988,116,13,3,3
865,84,12,2,3
1563,112,56,4,4
47,88,0,2,2
171,37,2,1,2
1443,200,17,4,22
236,154,1,4,3
1011,122,13,4,3
1015,14,32,4,3
306,134,2,2,4
396,155,4,3,3
1743,67,33,11,4
1649,79,53,4,3
1249,11,19,5,5
436,149,4,3,4
1,3,0,1,0
134,194,1,3,4
620,16,9,3,2
241,86,2,2,3
1818,60,49,5,5
1715,69,46,6,6
886,63,12,3,3
722,171,8,25,8
873,7,14,6,5
1501,62,21,3,3
1782,54,26,3,3
1620,111,22,3,3
1181,120,15,3,3
316,161,3,3,3
1016,135,13,3,3
707,117,8,3,3
1474,21,22,4,4
1683,136,22,3,3
779,194,9,3,4
1370,96,19,3,3
1953,131,26,3,4
489,27,7,1,2
208,29,3,1,1
1862,62,26,3,4
736,137,9,2,3
925,165,11,3,4
362,40,5,2,1
446,85,5,2,3
847,179,10,3,5
609,4,9,6,5
1129,138,14,3,4
1427,188,18,4,4
1292,150,17,3,4
1692,111,23,3,4
181,77,2,1,1
43,101,0,2,2
752,83,9,2,3
97,179,0,3,4
416,54,5,1,1
553,118,6,3,3
1514,35,21,3,3
1225,58,17,3,2
1440,155,18,4,4
1970,90,26,3,3
939,174,11,4,4
203,100,2,2,3
247,164,2,2,3
1867,73,26,3,3
180,194,0,3,3
1354,103,18,3,3
1305,97,17,3,3
1772,45,24,3,3
1028,6,16,7,7
1304,122,17,3,3
659,157,7,3,3
788,129,9,3,3
1870,134,25,3,3
365,136,3,3,3
28,178,0,3,4
70,109,0,2,2
1805,116,24,3,4
1376,67,18,2,3
566,75,7,2,3
995,79,13,2,2
143,102,1,2,3
303,68,4,2,2
1680,15,26,5,5
1205,62,17,2,2
1787,11,27,7,6
1457,10,23,6,6
711,142,8,3,3
906,184,10,3,4
22,65,0,1,2
133,6,2,1,1
859,23,12,2,2
1328,78,18,3,2
496,97,6,3,2
978,200,11,4,4
548,164,6,3,4
1542,112,20,3,3
1062,163,13,3,4
1029,188,12,4,4
451,154,5,3,3
1079,141,14,3,3
530,154,5,3,4
1229,128,16,3,3
555,155,6,3,4
1818,164,24,4,4
1757,54,24,3,3
1909,37,26,4,3
1698,86,23,3,3
735,96,9,3,2
601,166,6,2,3
751,122,9,2,3
1118,108,15,2,2
973,36,14,2,2
1782,3,28,22,20
1531,157,20,3,4
1824,143,24,4,4
1792,23,25,4,3
702,195,7,4,4
293,156,2,3,3
1308,116,17,3,4
281,72,3,2,2
1643,54,23,2,2
16,9,0,1,1
931,52,12,3,2
1731,74,24,3,3
313,176,2,3,3
1566,46,22,3,2
1680,2,26,31,27
1912,84,26,3,4
240,192,1,3,4
542,27,7,2,2
149,59,1,1,1
1510,68,20,2,3
1167,19,18,3,3
1620,132,21,3,4
1725,151,23,3,4
1527,4,23,15,13
1351,137,17,3,3
750,63,10,2,2
590,148,7,3,3
441,87,5,2,2
1158,59,16,2,2
1688,193,22,4,5
147,106,1,2,3
1708,197,21,3,4
1815,166,23,4,5
1399,77,19,2,3
1672,108,22,4,3
627,125,7,2,2
111,186,0,3,4
308,24,4,1,2
363,100,4,2,3
1889,86,26,3,3
1228,131,15,3,4
861,120,11,3,3
548,17,8,2,2
1362,189,17,4,5
1202,181,14,4,4
1838,138,25,3,4
855,5,13,7,6
171,3,3,2,3
1167,5,19,9,8
1364,63,19,3,3
644,160,7,3,4
1822,154,24,3,4
689,112,8,3,3
1700,158,22,4,4
991,122,13,3,3
446,129,5,2,3
1742,195,22,4,4
252,190,1,3,4
1210,72,17,2,3
971,14,15,3,3
1710,194,22,4,5
1625,139,21,3,3
1995,49,28,3,3
742,102,9,2,2
890,118,12,2,2
1310,149,17,3,4
427,22,6,2,2
687,45,18,3,2
1957,156,26,4,4
1976,20,30,6,4
1552,195,19,5,5
1904,112,26,4,4
1479,66,21,3,2
1374,154,18,4,4
44,162,0,3,4
1434,83,19,3,3
543,66,7,2,2
283,89,3,2,2
1324,105,17,3,3
199,169,0,2,3
207,4,3,2,3
197,183,1,3,4
595,69,8,2,2
1246,61,17,3,2
1395,152,18,4,4
1893,7,30,11,10
1855,84,26,4,3
659,104,8,3,3
129,27,1,1,1
428,47,5,2,2
1811,2,31,52,50
431,57,6,2,2
258,155,2,2,3
785,137,10,3,3
1421,171,18,4,4
381,75,4,2,2
484,169,5,3,4
235,160,2,2,3
967,159,12,3,4
1150,90,16,3,3
156,178,0,3,4
1222,10,19,5,5
444,108,6,2,3
1842,5,29,14,13
870,149,11,3,4
1688,99,23,3,3
743,14,11,3,3
796,169,9,3,3
937,88,13,2,3
1236,25,18,3,2
37,199,0,3,4
286,167,2,3,3
213,160,1,3,3
1835,130,25,3,3
1676,159,22,4,4
80,26,1,1,1
754,50,10,2,2
908,21,14,2,3
38,31,0,1,0
548,28,7,2,2
1885,33,26,3,3
49,142,0,3,3
1128,140,15,3,4
1788,21,28,4,4
562,182,5,3,3
873,13,13,4,3
1337,71,18,2,3
678,90,9,2,3
1848,200,24,5,5
1026,23,14,3,2
375,55,5,2,2
642,199,6,4,4
725,64,9,2,3
1404,34,20,3,3
1572,157,20,3,4
1532,104,21,3,4
819,162,10,3,4
1509,32,21,3,3
1985,45,27,3,3
1903,16,30,5,6
1472,180,18,4,4
1236,45,17,3,2
1904,8,30,10,8
38,21,1,1,1
1365,100,18,3,3
1716,188,22,4,4
358,21,5,2,1
1831,48,26,3,3
1571,62,21,3,3
1795,200,23,4,4
1624,134,22,3,4
559,190,5,4,4
724,154,9,2,3
29,128,0,2,3
1748,167,23,3,4
1366,97,18,3,3
1930,79,27,3,3
1369,164,17,4,4
805,64,10,2,2
398,151,4,2,3
632,14,9,2,2
641,128,7,3,3
1394,69,19,2,2
1735,79,23,3,3
1451,171,18,3,4
35,124,1,2,3
1861,191,24,4,4
690,44,9,2,2
1909,32,27,3,3
247,194,1,3,4
1994,100,27,3,3
936,71,13,2,2
1280,185,16,3,4
1388,134,18,3,4
1049,7,16,6,6
1888,18,30,5,4
1685,21,26,4,4
842,10,13,4,3
446,163,4,3,3
755,59,10,2,2
247,155,1,3,3
58,149,0,2,3
159,5,2,1,2
342,12,5,2,2
1327,20,21,3,4
1632,51,23,3,3
1647,101,22,4,3
285,197,1,4,4
1311,168,17,3,4
596,196,5,4,4
1054,152,13,3,3
1777,42,25,3,3
1026,70,13,3,2
1604,24,23,4,3
1297,177,16,4,4
947,92,13,2,3
756,100,9,3,2
406,189,3,3,4
710,88,9,2,3
895,62,11,2,2
431,74,5,2,2
1648,59,23,3,3
577,126,6,3,3
280,52,4,1,2
162,83,1,2,2
99,182,0,3,4
1313,163,17,3,3
622,78,8,2,2
