length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
85,13,1,1,1
583,8,9,3,3
1200,167,14,3,4
1952,138,27,3,3
685,29,9,2,2
1439,93,19,3,3
1817,37,26,3,3
6,111,0,2,2
449,128,5,2,2
719,115,9,3,3
1892,18,30,5,4
603,13,9,2,3
1579,124,20,3,3
1239,55,17,2,3
368,93,4,2,3
929,190,10,4,4
1582,19,24,4,4
191,48,2,1,2
374,125,4,2,3
398,98,5,2,2
237,140,2,2,3
759,60,10,2,2
1323,58,18,2,2
311,132,3,2,3
918,190,10,4,4
1629,9,25,7,7
690,15,10,3,2
119,198,0,4,4
1933,42,27,3,3
190,182,1,3,4
405,157,4,3,3
1460,46,21,3,3
276,61,3,1,1
1223,187,14,3,5
1092,12,17,4,4
1571,111,21,3,3
1880,130,25,3,4
1094,18,17,3,3
1863,82,26,3,4
855,45,12,2,2
1048,15,16,4,3
1923,198,25,4,5
1945,172,50,5,4
556,127,7,3,3
324,80,4,1,2
1501,197,30,4,5
433,197,3,4,4
499,29,7,2,2
1487,56,35,3,3
1851,104,25,4,4
559,92,7,2,3
1774,64,24,3,3
9,47,0,1,57
1609,194,21,4,5
1932,19,52,6,5
1498,123,20,3,3
103,146,1,2,3
511,116,5,3,3
298,165,2,2,3
321,178,2,3,3
537,104,6,2,2
973,71,13,2,2
1377,18,21,3,3
44,115,0,2,2
238,164,1,3,4
14,35,0,18,2
636,197,6,3,4
666,199,7,3,4
385,168,3,3,4
690,67,9,2,2
1717,128,23,4,3
1778,166,23,4,4
33,166,0,3,3
553,106,6,2,2
952,23,33,16,2
1562,32,22,3,3
1344,148,17,3,3
1264,129,16,3,4
460,111,5,3,2
395,52,5,2,1
209,66,3,1,2
142,75,1,1,2
1926,80,29,3,4
1116,50,15,2,2
1951,95,27,3,3
1224,51,17,2,2
247,103,3,2,2
1351,5,21,11,9
1535,71,21,3,3
733,166,8,3,4
220,93,2,2,3
356,68,4,2,2
1471,9,23,6,6
1141,59,15,3,2
1109,45,15,3,2
821,92,10,3,2
1484,144,19,3,3
1343,59,19,3,2
1558,145,21,4,4
448,130,4,3,3
920,179,10,3,4
28,119,0,2,2
320,67,4,1,1
923,128,11,2,4
242,35,3,1,1
109,135,0,2,2
1268,172,16,3,3
974,185,12,3,4
647,35,9,2,2
1118,2,17,21,18
1332,45,18,2,2
1837,193,23,4,5
585,170,6,3,4
402,152,4,3,3
503,61,6,2,2
463,12,7,3,2
1131,127,15,3,3
1139,70,15,2,2
1904,48,27,3,3
1492,191,18,4,4
1710,190,21,4,4
1516,132,20,3,4
1053,191,13,3,4
1413,155,18,3,4
1677,139,22,3,4
911,94,11,3,3
1182,167,14,3,4
644,8,10,3,4
231,140,2,2,3
1193,117,15,2,3
1458,59,20,2,2
1100,51,15,2,3
779,132,10,3,3
679,107,8,2,2
1342,36,19,2,3
294,27,4,1,1
443,77,5,2,3
97,28,1,1,1
1680,137,22,3,4
146,1,3,6,5
1185,155,15,3,4
1781,124,24,3,3
907,184,10,4,4
1091,136,13,3,3
1129,36,16,2,2
47,51,0,2,1
427,96,5,2,2
1192,15,19,4,3
529,112,6,2,2
50,14,0,1,1
1806,14,28,5,5
938,127,12,3,3
1107,53,15,2,3
444,192,3,4,4
1731,190,48,18,8
1084,90,27,4,4
1086,136,14,3,3
1076,33,15,2,2
636,49,9,2,2
963,191,11,3,4
1687,6,26,11,10
1033,137,13,3,3
1706,127,23,3,4
1596,150,20,4,3
552,90,6,3,2
1467,93,19,3,3
28,109,0,2,3
83,198,0,3,4
1318,6,20,9,8
1033,46,14,3,2
1952,112,26,4,4
1339,136,18,3,3
654,183,7,4,4
1002,136,13,3,3
1268,80,17,3,2
663,179,7,3,4
1534,80,21,3,3
1657,3,26,20,18
885,195,10,4,5
1978,131,26,4,3
519,99,6,2,2
1965,12,30,7,7
1957,147,26,4,4
109,33,1,1,1
1720,137,23,4,4
725,17,11,2,3
929,76,12,2,2
505,174,4,3,3
1934,168,26,4,4
1183,85,16,2,3
115,190,0,3,4
1233,81,16,3,2
1887,160,25,4,4
1132,176,14,3,4
1636,128,22,3,4
1049,17,17,3,3
971,145,11,2,3
889,61,12,2,2
1979,66,28,3,3
186,51,3,1,2
1007,179,12,3,4
1306,57,18,3,2
1243,33,17,3,2
1912,88,26,3,3
321,86,4,2,2
1741,196,22,4,5
241,168,1,3,4
1945,140,26,4,11
723,24,10,3,2
306,196,1,3,4
1027,114,13,3,3
1280,198,15,4,5
62,110,0,2,2
1990,128,49,5,4
1778,200,23,4,4
1741,46,25,3,3
179,156,0,3,4
770,65,10,2,2
407,44,5,2,2
1138,141,16,3,3
1653,62,23,3,3
78,162,0,3,3
1795,133,25,4,4
1856,166,26,4,5
515,21,8,2,2
1509,125,21,3,3
982,97,13,2,3
320,17,5,2,2
1524,83,22,3,2
955,1,14,34,60
1499,84,21,2,3
1903,81,26,3,3
1365,146,18,3,4
1890,29,27,4,4
1412,163,18,4,4
910,115,11,3,3
1497,32,21,2,2
1194,159,14,4,4
1950,112,27,3,4
1757,51,24,3,2
1968,161,26,4,5
654,148,7,3,3
1847,19,29,4,4
413,171,4,3,4
1739,10,27,8,7
1775,40,25,3,3
108,76,0,2,2
526,41,7,2,2
1860,168,24,4,4
1029,29,14,3,2
548,13,9,2,2
1979,112,26,4,3
1394,143,18,3,3
1241,21,19,3,3
1396,143,18,3,4
1493,27,21,3,3
487,176,4,3,3
1752,195,22,4,4
424,161,4,3,4
177,85,2,2,2
811,200,9,4,4
613,200,6,4,4
1200,133,15,4,3
1628,115,22,3,3
699,63,10,2,2
1874,150,25,3,4
818,33,11,1,2
1267,16,20,4,4
427,158,4,3,3
72,50,0,1,2
1470,175,19,4,4
1182,107,15,3,3
665,64,9,1,2
769,23,11,2,2
1366,114,21,3,4
400,99,5,2,2
1384,182,17,4,5
334,130,3,2,3
610,113,7,2,2
153,197,0,3,4
1064,61,14,3,2
1703,121,23,4,4
1666,112,22,4,3
1815,123,24,3,4
1774,158,23,4,4
72,200,0,3,4
233,126,2,2,3
1859,22,29,4,5
1506,150,19,4,4
106,157,1,2,4
207,146,1,3,3
1251,13,20,4,4
157,60,2,1,2
1380,111,18,3,4
625,75,8,2,2
1176,176,14,4,4
167,15,2,1,1
1323,15,21,4,5
734,149,9,3,3
249,166,1,3,4
127,32,2,1,1
1826,6,28,12,11
1161,150,14,3,3
117,107,0,2,2
874,11,14,3,3
35,104,0,2,2
999,169,12,4,4
1467,98,20,3,3
17,10,0,1,1
300,93,3,2,3
1488,123,19,3,3
1347,78,19,2,2
1987,172,26,4,5
1856,126,25,3,4
1291,55,18,2,2
103,146,0,2,3
1481,91,20,2,2
452,68,6,2,2
330,111,3,2,2
455,12,7,2,2
1820,15,28,6,5
371,51,5,1,1
805,166,9,3,4
648,128,7,3,3
238,134,1,2,3
440,131,4,3,3
93,126,0,2,3
417,7,6,2,3
1091,111,14,2,3
675,93,9,2,3
1575,150,21,3,4
1194,53,17,2,3
1835,139,24,4,4
1792,111,24,3,3
1786,10,28,8,6
1798,1,28,63,57
875,25,12,2,3
1741,63,24,3,3
1402,75,19,3,2
688,67,9,2,2
736,121,9,3,3
252,68,3,2,2
1968,145,26,4,4
305,169,2,3,4
879,188,10,3,4
853,25,12,2,3
370,52,5,2,2
659,95,8,2,3
1910,199,24,4,4
22,24,0,1,1
115,189,0,3,4
97,65,1,1,1
1941,68,26,3,3
1777,73,24,3,3
289,23,4,1,1
325,22,5,2,1
183,70,2,2,2
421,73,5,2,2
805,179,9,3,4
318,131,2,2,3
1316,64,18,2,3
1034,186,13,3,5
1240,97,16,2,3
532,168,5,3,4
1244,110,16,2,3
925,48,13,2,2
449,54,5,1,2
1421,166,18,3,4
1696,129,22,4,3
485,24,7,1,2
298,156,3,2,3
521,142,6,2,3
1646,99,22,3,3
1416,108,18,3,3
1089,188,13,3,4
1001,124,13,2,3
664,20,10,3,2
151,97,1,2,2
1441,172,19,3,4
472,54,7,1,1
420,120,4,2,3
1591,184,20,4,5
653,34,9,2,2
1082,13,17,4,4
1851,36,26,3,3
1649,102,22,3,4
1279,192,15,4,5
1529,45,21,2,3
169,47,1,1,2
1631,66,22,3,3
1214,125,15,3,4
1242,28,17,28,3
937,142,15,4,4
923,192,11,4,4
1030,163,17,3,4
1721,107,23,3,4
596,13,9,2,3
64,11,0,0,1
1111,15,18,3,4
620,14,10,2,2
1054,52,15,3,2
1546,17,24,4,5
138,88,0,2,3
1487,187,19,4,4
679,16,11,2,3
1872,182,101,5,4
298,121,3,2,3
1025,98,13,2,3
1998,115,28,3,4
883,38,12,2,2
1482,10,23,7,6
1841,15,29,5,5
441,150,5,3,3
1290,126,17,3,3
233,123,2,2,3
210,60,2,1,1
1089,114,62,4,4
1246,2,20,23,20
1651,91,23,3,3
143,165,0,3,16
488,59,12,3,3
1277,135,32,6,7
369,196,5,6,8
455,180,7,6,8
1627,12,49,12,10
1196,65,31,5,5
163,128,1,4,6
1094,88,27,5,5
1368,150,33,6,7
1598,40,43,5,5
1588,70,41,6,6
649,77,16,4,4
1609,27,44,7,6
1738,98,46,5,6
1898,91,49,6,6
517,183,9,6,7
887,101,22,5,5
1568,194,39,8,9
1359,10,41,12,10
1461,39,40,5,5
466,175,8,6,7
51,156,0,5,7
1223,51,33,5,5
1200,115,30,6,6
211,58,4,2,3
776,141,18,6,6
1473,96,38,6,7
663,26,18,4,3
1295,8,39,13,12
1814,143,46,7,7
1926,49,51,6,6
693,187,8,3,4
1314,79,20,2,3
1528,32,24,4,3
1890,49,30,3,4
447,12,8,2,2
314,155,3,3,4
800,143,11,3,4
788,18,13,3,3
165,9,3,2,1
487,29,8,2,2
1269,168,18,3,4
63,176,0,3,4
1045,171,14,3,5
677,113,10,3,3
1613,112,25,3,4
401,156,4,3,4
1321,56,21,3,3
484,150,5,4,4
134,41,2,2,1
637,33,10,2,2
842,105,12,2,3
1215,111,18,3,3
986,132,14,3,3
30,93,0,2,2
228,171,1,4,4
1524,191,22,4,5
47,86,0,2,3
1731,114,27,3,4
1964,133,30,4,5
1994,156,30,4,5
553,9,10,4,3
285,16,5,1,2
449,103,6,2,2
554,158,7,4,4
966,172,13,4,4
1412,170,20,4,5
383,184,3,4,5
209,38,3,2,1
335,34,5,2,2
1019,40,16,3,2
772,129,11,3,3
1783,169,26,4,5
659,132,8,2,3
55,199,0,4,4
1081,175,15,4,5
1817,183,27,5,5
1524,46,25,3,3
260,184,1,4,4
1999,87,31,5,4
219,64,3,2,2
115,168,0,3,4
1593,4,29,17,16
818,120,12,3,3
648,161,9,3,4
399,32,6,2,1
134,48,1,2,1
603,76,9,2,2
169,84,1,2,3
134,8,2,1,2
1791,149,27,4,5
1711,42,28,3,3
794,179,11,4,4
1520,54,24,3,3
1233,59,19,3,3
878,173,12,4,4
1311,173,19,4,5
1534,75,24,3,3
454,7,8,3,4
250,138,2,3,4
1333,185,19,4,5
767,20,13,3,2
1731,107,26,4,3
1456,57,23,4,3
202,91,2,3,2
1987,3,35,29,25
1566,134,33,21,5
328,37,5,2,2
1207,176,17,4,4
732,170,10,3,4
318,124,3,2,3
1852,142,29,4,4
586,114,8,3,4
853,63,14,3,4
1291,6,23,11,9
1870,75,30,4,5
371,102,4,2,3
1430,100,23,3,4
1785,141,29,4,4
1962,48,33,4,4
1348,21,24,4,4
1901,141,45,25,17
1659,146,25,4,5
1601,103,25,3,3
372,187,3,3,5
644,198,7,4,5
1790,113,28,4,4
686,6,12,6,5
1716,145,26,4,5
1190,17,21,4,4
1522,183,22,4,5
1614,32,26,3,3
168,63,2,1,2
301,151,3,3,4
1783,127,28,3,4
987,12,18,4,5
1680,109,26,4,4
1134,199,15,4,5
868,122,13,3,3
1864,57,30,3,4
1608,163,24,4,4
1410,160,21,3,4
939,102,14,3,3
1494,104,23,3,4
804,191,10,4,4
407,95,5,3,2
128,105,0,3,2
143,131,0,3,3
1838,52,30,3,4
1917,106,29,3,4
572,160,7,3,6
1114,103,15,3,4
472,125,6,2,3
1238,64,18,2,3
1540,190,21,4,4
938,114,13,2,3
1711,43,26,3,3
604,123,7,2,3
41,182,0,3,4
1453,182,20,4,5
18,156,0,3,3
40,132,1,2,3
1462,152,20,4,4
620,187,7,3,5
926,8,16,5,5
414,80,5,2,2
790,30,12,2,2
1883,105,27,3,4
1217,87,17,3,3
257,119,2,3,3
376,154,3,3,4
289,47,4,2,1
577,17,9,3,2
738,157,9,4,3
1571,21,27,4,4
667,95,9,2,2
810,111,10,2,3
1864,88,28,3,3
1399,195,18,4,5
872,93,12,2,2
1434,142,20,3,3
430,58,6,2,2
154,16,3,1,1
1629,88,23,3,3
116,151,0,3,4
839,111,11,3,3
1412,39,21,2,2
1611,117,23,4,3
804,134,10,3,3
1192,140,16,3,4
1275,188,17,4,5
1644,96,24,4,3
1619,144,23,4,4
1440,130,20,3,3
1628,156,23,4,4
427,31,6,1,2
805,112,10,3,3
1277,113,18,3,4
1009,188,13,4,4
695,152,8,3,4
28,3,1,1,1
593,30,8,2,1
1141,58,16,3,2
1848,47,28,3,3
1840,32,28,3,3
1077,180,13,4,4
1820,133,25,3,4
833,134,11,3,4
528,99,7,2,3
1882,93,28,3,4
319,27,5,2,1
463,64,6,2,2
335,96,4,2,2
1436,88,21,3,3
398,85,5,2,2
1941,90,29,3,3
1072,180,13,3,5
932,33,14,3,2
1021,186,13,3,4
1244,153,17,3,4
1377,191,18,4,4
1404,75,20,3,3
546,24,8,2,2
1253,191,16,4,4
742,135,9,3,3
1744,169,24,4,4
1413,4,24,15,12
31,97,0,2,2
593,111,7,3,3
268,156,1,2,3
924,84,12,2,3
791,20,13,3,3
1538,65,23,3,3
1275,23,19,3,3
1524,114,20,3,3
1106,13,18,4,4
578,14,9,2,3
717,124,9,3,3
1504,59,21,3,2
1242,125,16,3,3
913,53,13,2,2
1757,18,27,5,4
38,37,0,1,1
1461,3,23,18,16
72,120,0,2,3
1851,6,29,12,11
303,25,4,1,1
1297,189,16,4,4
1389,151,18,3,3
975,143,11,3,3
1710,104,23,3,3
1831,2,29,33,29
737,55,10,2,2
780,98,10,2,3
724,182,8,3,4
642,70,8,2,2
670,155,7,2,3
1373,39,19,2,2
993,143,12,3,3
1204,126,16,3,3
433,17,7,1,1
1715,55,24,3,3
686,63,9,2,2
1748,51,25,3,3
1792,67,25,3,3
800,2,12,15,14
1797,78,25,3,3
32,178,0,3,3
1008,88,27,3,2
281,166,2,3,4
1151,55,16,3,2
593,78,18,2,2
1212,158,16,3,4
1890,175,24,4,5
1845,72,25,4,3
1894,14,29,6,6
1529,108,21,3,3
1029,193,12,3,5
1423,134,21,4,38
1320,124,20,3,3
461,54,6,2,1
470,187,5,3,4
1667,93,23,2,3
885,129,11,3,3
817,125,11,2,2
103,91,0,2,2
709,172,7,3,3
1371,32,19,2,2
43,22,0,1,1
950,11,15,4,4
503,91,6,2,2
1737,172,23,4,4
224,54,2,2,1
1553,131,20,3,3
49,7,1,1,1
1555,200,19,4,4
1749,148,23,4,4
755,78,10,2,3
1428,32,20,3,2
624,134,7,3,3
1676,182,21,4,4
1050,97,14,3,3
35,91,0,1,2
1280,165,16,4,4
1112,70,15,2,2
703,109,8,3,2
1812,28,25,3,3
1334,187,16,4,5
1277,101,17,3,3
1578,183,20,4,4
1305,53,18,2,3
299,75,3,2,2
1112,182,13,4,4
1195,38,17,2,2
1802,101,24,3,3
928,55,12,2,2
642,120,8,2,3
1804,126,24,3,4
1834,88,25,3,3
1915,135,39,5,6
604,160,7,3,4
1647,33,23,3,3
1481,93,20,3,3
786,135,9,3,3
1006,109,13,3,3
700,163,8,3,4
1563,68,22,3,3
740,181,8,4,4
710,166,8,3,4
1242,184,15,4,5
307,188,1,3,4
573,193,6,3,4
1002,190,13,6,4
1047,151,13,3,4
1506,3,24,19,16
1047,123,13,3,3
1689,77,23,2,3
747,76,10,2,2
588,123,7,2,3
548,195,5,3,4
483,51,6,2,2
499,6,8,3,4
1897,157,25,4,5
588,99,7,2,3
928,109,12,3,3
1222,136,16,3,4
204,26,2,2,1
1431,168,19,3,4
421,3,7,6,5
1237,162,15,4,4
85,178,0,3,4
1227,103,16,3,3
1160,81,15,3,2
1639,59,23,3,3
1572,138,21,4,3
636,10,10,3,3
1177,40,16,2,3
1878,158,24,4,4
1476,10,23,6,6
79,187,0,3,4
249,115,2,2,3
538,157,5,3,4
1380,162,18,3,4
510,100,6,2,2
594,69,8,2,2
816,60,11,2,2
266,14,4,2,1
403,37,5,2,1
1256,69,17,3,3
320,112,3,2,3
1139,51,15,3,2
751,104,9,3,3
408,47,5,2,2
504,6,8,3,3
1374,138,18,3,4
1413,153,18,3,4
545,198,5,4,4
764,168,9,3,4
1776,194,22,5,5
928,13,14,3,3
871,92,12,2,3
334,10,5,2,2
1899,62,26,3,3
1214,196,14,4,5
1443,163,19,3,4
1265,73,17,2,2
1051,137,13,3,3
69,163,0,2,4
408,111,5,2,3
74,142,0,2,3
581,37,8,2,2
1065,158,13,3,3
244,84,3,1,2
737,165,9,3,4
180,178,0,3,4
598,173,7,3,4
980,178,12,3,3
717,5,11,6,5
1380,108,18,3,3
671,19,10,2,2
1141,78,15,3,3
940,81,13,2,3
317,26,5,1,2
353,65,5,1,2
1873,123,25,3,4
306,177,2,3,4
223,85,2,2,2
354,135,3,3,3
473,158,4,3,4
1226,180,15,4,4
1527,22,24,3,3
1848,30,26,3,3
1892,129,25,4,4
481,31,6,1,2
946,16,15,3,3
763,135,9,3,3
268,44,3,2,1
1363,173,17,4,4
789,124,9,3,3
1016,38,14,3,2
1507,87,20,3,3
689,71,9,2,2
779,140,9,3,3
758,169,8,4,4
1126,165,14,3,4
1598,28,23,3,3
34,32,0,1,1
622,117,7,3,3
1041,177,12,3,4
902,74,12,2,3
584,190,6,3,4
1526,193,19,4,5
707,188,8,3,3
188,80,2,2,2
118,147,1,2,3
1218,43,17,2,3
387,2,6,8,6
351,20,5,1,1
519,71,6,2,2
1200,134,16,4,4
888,134,10,4,3
1316,41,18,3,2
939,176,12,3,4
306,55,4,1,2
1988,30,31,4,4
1337,90,18,3,3
1496,92,20,3,3
845,194,10,3,4
681,24,12,2,3
1256,130,17,3,3
560,171,6,4,4
1543,151,21,4,4
197,116,1,2,3
1846,155,25,4,5
23,146,0,2,3
1892,63,26,3,3
883,20,14,3,3
1707,164,22,5,4
62,11,1,1,1
1602,37,23,3,3
308,85,3,2,3
1302,165,17,3,4
1586,197,21,4,5
1998,122,52,4,4
909,45,13,2,2
980,146,12,3,3
1003,173,12,4,4
781,153,10,3,4
760,52,10,2,2
1916,122,26,3,4
348,147,3,3,3
1569,37,22,3,3
431,164,4,3,3
548,57,7,2,2
1737,74,23,2,3
921,47,12,3,2
1255,29,18,3,2
546,17,8,2,3
1004,122,13,3,3
1288,141,16,4,3
1133,22,17,3,3
1930,61,27,3,3
376,2,6,7,6
1094,107,15,2,3
1738,5,27,13,12
262,188,1,3,4
1617,44,23,3,3
126,200,0,3,4
874,83,12,2,2
1646,23,24,3,4
627,162,6,4,4
621,158,7,3,3
541,91,6,2,2
543,121,6,3,3
1893,30,27,4,3
1766,190,23,4,5
997,25,14,2,3
1687,152,21,3,4
1677,172,22,3,5
176,165,0,3,3
1013,103,14,2,3
523,170,5,3,4
381,78,4,2,2
1070,77,14,2,2
1963,19,30,5,5
1347,146,17,3,4
36,192,0,3,4
1723,12,27,6,6
281,192,1,3,3
1591,113,21,3,4
227,156,1,3,3
1797,179,23,4,5
1450,186,18,3,4
728,8,11,4,3
63,188,0,3,4
27,124,0,2,3
597,106,7,3,3
244,114,2,3,2
750,143,9,3,3
1551,140,20,4,4
890,4,14,9,8
294,59,4,1,2
225,95,2,2,2
1830,162,24,4,4
1562,23,22,4,3
1716,17,27,5,4
243,46,3,2,1
991,194,11,4,4
1793,188,23,4,5
802,3,12,10,10
384,200,3,3,4
1613,26,23,4,3
11,75,0,2,2
450,137,4,3,3
883,73,11,3,2
1361,6,22,9,8
467,20,7,2,2
1246,173,16,3,4
1198,107,16,3,3
836,122,11,2,3
607,199,6,4,4
1071,147,13,3,3
4,65,0,1,2
219,115,2,2,2
1784,135,24,3,4
50,189,0,3,4
224,115,2,2,3
1829,188,24,4,5
594,99,7,2,3
71,73,0,2,1
1255,121,16,3,3
1138,149,14,4,4
683,92,8,2,2
1771,19,28,4,4
1252,162,16,3,4
331,172,2,3,4
676,170,8,3,4
1321,40,19,3,2
176,35,2,1,1
322,157,3,2,4
169,135,0,2,3
480,137,5,3,3
1044,164,12,3,4
410,129,4,2,3
274,153,2,3,4
295,8,4,2,2
599,140,7,3,3
1602,51,22,3,3
154,27,2,1,1
1205,133,16,3,3
789,161,9,3,4
70,41,0,1,1
1707,138,22,3,4
334,25,5,1,2
1390,159,18,3,3
361,157,3,3,3
1776,136,23,4,3
1224,173,15,3,4
126,138,0,2,3
546,77,7,2,2
178,28,3,1,1
539,75,6,2,3
1041,21,16,3,3
1156,159,14,3,3
591,1,9,21,19
1417,29,20,3,3
1098,58,15,2,3
1651,40,23,3,2
269,5,4,3,2
342,8,5,3,2
942,94,12,2,2
541,9,8,2,2
1829,9,28,9,7
1058,111,14,3,4
1625,95,22,3,3
462,126,5,2,2
175,173,0,3,3
1975,63,28,3,3
425,70,5,2,2
1624,7,25,10,8
736,192,8,3,4
443,18,6,2,2
190,77,2,2,2
638,57,9,2,2
910,52,12,2,2
1077,38,15,2,2
984,178,12,3,4
44,197,0,3,4
101,5,2,1,1
1752,185,23,4,5
1599,121,22,3,3
1850,131,25,3,3
69,62,0,1,2
916,83,12,2,2
1697,163,22,4,4
1101,171,13,3,3
1748,60,25,3,2
231,131,2,2,3
1097,178,13,4,4
1516,1,23,54,48
830,114,10,3,3
118,139,0,2,3
1777,109,24,3,3
455,15,7,2,2
1897,40,27,3,3
1654,97,22,2,3
1758,191,22,4,5
1879,178,24,4,4
255,15,4,1,1
774,144,36,4,4
1174,3,18,15,14
1579,66,27,3,3
78,134,0,2,3
1488,136,24,4,4
1082,154,15,4,4
554,107,6,2,2
519,13,8,2,2
1031,77,14,2,2
126,123,0,3,3
734,20,12,2,3
1261,90,18,2,3
1766,150,25,3,4
984,93,13,3,3
1225,12,21,5,4
1813,58,42,5,6
1064,28,16,3,3
142,191,0,4,4
1683,108,24,3,3
1207,155,16,4,4
1273,95,19,3,3
351,26,5,1,2
1962,37,29,3,4
1541,15,25,6,5
1864,67,28,3,3
1487,189,20,4,4
1416,26,22,3,4
318,145,3,3,3
1692,172,23,4,4
53,67,0,1,2
1878,110,28,3,4
384,192,3,4,4
570,114,8,2,3
1509,33,23,3,4
992,13,16,4,4
46,39,0,1,1
160,179,0,3,3
719,64,10,3,2
796,50,12,2,2
1469,38,22,3,3
1488,113,21,3,3
1192,175,16,3,4
904,167,11,3,4
950,116,13,3,3
1520,158,21,4,4
1394,188,19,4,5
990,148,13,3,4
88,182,1,3,4
245,152,1,3,4
745,129,10,3,3
450,13,8,2,2
1778,47,26,4,3
1769,48,26,3,3
1819,25,28,4,4
1614,198,22,4,5
956,146,12,3,4
1462,98,21,3,4
1400,121,20,3,4
892,124,12,2,3
785,128,11,2,3
630,39,9,2,2
1646,73,24,3,3
1362,140,19,4,4
1650,45,25,3,3
1480,100,21,3,4
1465,68,22,3,3
1147,135,15,3,4
131,166,0,3,4
75,134,0,2,3
1664,177,22,4,4
408,93,4,2,2
1256,31,18,3,2
202,77,2,2,2
242,25,3,1,1
338,85,3,2,2
1859,53,26,4,3
368,156,4,2,3
1238,126,16,3,3
1463,101,20,3,3
1006,148,12,3,3
1717,57,24,3,3
1645,140,22,3,4
727,94,9,2,2
1420,16,22,4,4
1616,108,22,3,4
801,148,9,3,4
203,44,2,1,1
1118,133,14,3,4
1425,105,19,3,3
1015,36,14,2,3
459,194,4,3,4
528,26,7,2,2
895,123,11,3,3
1898,117,26,4,4
602,38,8,2,2
1919,2,30,34,31
1398,68,19,3,3
640,25,9,1,1
1172,152,15,3,4
209,156,1,3,3
1512,95,21,3,3
70,34,0,1,1
455,60,6,1,1
502,30,7,2,2
1215,181,14,4,5
1036,42,14,2,2
1194,147,15,4,3
395,84,5,2,2
1051,148,13,3,4
803,35,11,2,3
239,64,2,2,2
908,153,10,2,3
558,132,6,3,3
208,194,1,3,4
1395,130,19,3,3
131,73,1,2,2
1498,19,23,4,4
325,52,4,1,2
340,31,4,1,1
742,123,9,2,2
1272,113,17,3,3
1886,17,30,5,5
1123,55,16,2,3
668,142,7,3,3
1336,104,18,3,3
602,191,6,3,4
152,157,0,3,3
1215,110,16,2,3
66,98,0,2,3
1314,21,20,4,3
1544,106,21,3,4
75,105,1,1,2
1248,2,19,23,20
311,48,3,1,2
1176,174,14,3,4
1725,113,23,3,4
85,150,0,2,3
1759,108,24,3,4
1423,24,20,3,3
685,88,9,2,3
257,136,2,2,3
1566,100,21,2,3
1043,114,14,2,2
696,131,8,3,3
565,134,6,2,3
1102,141,13,3,3
1823,173,24,4,5
788,108,9,3,3
1091,64,15,2,2
306,181,2,3,4
848,65,11,2,2
729,30,10,2,2
628,143,7,2,3
1523,135,20,3,4
1291,39,18,2,2
1032,168,13,3,4
915,159,11,2,3
960,34,13,2,2
996,164,12,3,4
961,157,12,3,4
1778,145,23,4,4
1527,193,19,5,4
843,87,10,2,3
321,45,4,1,2
1467,101,19,3,3
1269,138,16,4,4
298,42,3,1,2
1542,92,21,3,3
1584,88,22,3,24
268,49,3,1,1
1501,57,21,3,3
833,121,10,2,2
209,82,1,1,2
1295,32,51,6,3
784,185,9,3,4
905,111,11,3,3
1057,41,14,3,2
96,180,0,3,4
760,198,8,4,4
1542,150,20,4,4
1197,177,15,5,4
551,20,8,2,2
228,170,1,3,4
1204,20,19,3,3
559,6,9,4,4
1241,182,16,4,4
839,27,12,2,2
1096,90,14,2,3
1554,14,30,7,7
228,56,3,2,3
1787,62,25,3,3
1620,85,21,2,3
1438,19,22,4,4
239,152,1,2,4
339,103,3,2,2
381,193,3,3,4
48,81,0,2,2
1297,72,18,3,2
1069,152,13,4,4
1172,37,16,3,2
1666,53,23,3,3
1592,40,22,3,3
1988,16,31,6,5
341,11,5,2,2
1496,195,19,4,5
208,102,2,2,3
1013,112,13,2,3
176,53,2,1,1
1390,106,18,3,3
21,148,1,2,3
528,32,8,1,1
1441,156,19,3,4
291,187,2,3,4
1235,48,17,2,3
1635,53,23,3,3
1765,165,23,4,4
1434,32,20,3,2
1156,65,16,3,3
266,41,3,1,1
148,90,1,2,2
810,191,9,4,4
433,39,5,1,2
1497,149,19,4,4
299,11,4,2,2
1747,77,24,3,3
421,179,4,3,4
1625,16,25,5,5
1005,163,12,4,4
1873,141,25,3,4
212,70,3,1,2
1111,171,14,3,3
1478,64,20,3,3
1753,11,27,7,6
816,83,11,2,2
1749,92,24,3,3
1066,52,14,3,2
1579,48,30,3,2
584,166,6,3,3
1827,36,25,3,3
1254,29,17,2,2
1868,81,26,3,3
1644,39,26,4,4
1814,33,25,4,3
1046,191,12,4,4
242,155,2,2,4
1015,134,12,3,3
217,146,1,3,3
1354,17,21,4,4
657,111,7,2,3
1222,139,15,3,4
89,179,0,3,3
1503,90,20,3,3
1073,72,15,2,3
1081,173,13,4,4
673,152,8,3,3
1158,55,16,2,3
658,65,8,1,2
785,121,9,2,3
456,117,5,2,2
149,111,0,2,2
765,150,9,3,4
878,23,13,2,3
1861,102,25,3,3
593,33,8,2,2
112,90,1,1,2
1221,92,16,3,4
1043,45,14,2,2
340,177,2,3,4
1420,36,20,3,3
128,132,0,3,3
1494,72,20,3,3
1895,14,29,6,6
1111,77,14,2,3
1404,188,17,4,5
958,55,13,3,2
823,117,10,3,3
1517,165,19,3,4
642,27,9,2,1
535,127,6,2,3
558,186,6,3,4
244,18,4,2,1
